group,short_label,label,n_seeds,Overall_change_pp,TypeB_change_pp,TypeC_change_pp,width_ratio_g1_g0
PEMS03_stae,P03/A,PeMS03 / STAEformer,3,-0.3988526568387403,-2.924446895312205,3.4849704941799065,0.9890342531441949
PEMS04_stae,P04/A,PeMS04 / STAEformer,3,-0.14492067344212822,-3.615067072147752,3.602121485039526,0.985281914998776
PEMS08_stae,P08/A,PeMS08 / STAEformer,3,-0.06312602768168511,-2.5817651004063635,3.3815119996397858,0.9878587695128787
PEMS08_stid,P08/I,PeMS08 / STID,3,-0.09164715955200704,-3.7227285280309275,4.9308429424598526,0.9885644521740883
